1h_timestamp,1h_open,1h_high,1h_low,1h_close,1h_volume
1627747200000,41547.21,41580.26,41244.13,41279.99,2.070562
1627750800000,41279.99,41372.92,41040.89,41154.43,1.842356
1627754400000,41154.43,41433.21,41127.58,41396.01,0.870035
1627758000000,41396.01,41557.81,41245.4,41309.85,2.661282
1627761600000,41309.85,41853.5,41165.0,41509.61,1.627959
1627765200000,41509.61,41978.92,41509.61,41978.92,5.283201
1627768800000,41978.92,41978.92,41637.64,41861.65,8.666731
1627772400000,41861.65,41948.82,41322.13,41447.67,7.441622
1627776000000,41447.67,41773.13,41146.99,41727.69,5.222432
1627779600000,41727.69,41911.4,41660.55,41725.5,4.355742
1627783200000,41725.5,41816.68,41625.0,41813.74,2.23446
1627786800000,41813.74,42566.0,41813.74,42438.76,5.153239
1627790400000,42438.76,42438.76,42032.95,42032.95,2.77456
1627794000000,42032.95,42141.54,41700.0,41820.51,1.716752
1627797600000,41820.51,41902.08,41647.68,41717.14,7.492627
1627801200000,41717.14,41819.99,41613.32,41696.27,1.87626
1627804800000,41696.27,41829.32,41649.94,41753.61,0.889866
1627808400000,41753.61,41939.99,41714.56,41907.82,0.783825
1627812000000,41907.82,41907.82,41400.0,41541.6,7.915512
1627815600000,41541.6,41606.45,41323.8,41581.7,6.255409
1627819200000,41581.7,41821.66,41515.57,41555.81,4.589619
1627822800000,41555.81,41606.04,41386.0,41410.73,4.053165
1627826400000,41410.73,41514.99,41259.1,41341.09,2.469499
1627830000000,41341.09,41566.99,41169.13,41288.52,2.304672
1627833600000,41288.52,41308.69,40753.67,41256.61,22.527986
1627837200000,41256.61,41329.49,40852.61,41071.41,4.035696
1627840800000,41071.41,41205.57,40969.31,41069.67,3.645869
1627844400000,41069.67,41488.19,40650.0,41244.37,4.586034
1627848000000,41244.37,41500.0,41092.49,41238.25,4.465829
1627851600000,41238.25,41300.93,40946.66,41072.66,5.034867
1627855200000,41072.66,41195.31,40000.0,40284.27,18.218606
1627858800000,40284.27,40439.0,39462.33,39851.08,17.849387
1627862400000,39851.08,40082.11,39472.05,39510.05,14.813415
1627866000000,39510.05,39780.11,39238.47,39617.45,3.975709
1627869600000,39617.45,39900.63,39509.96,39774.63,4.329772
1627873200000,39774.63,39917.87,39693.74,39786.72,2.176801
1627876800000,39786.72,39852.65,39623.97,39677.97,1.393949
1627880400000,39677.97,39822.36,39601.0,39722.28,0.66236
1627884000000,39722.28,40358.32,39640.0,40291.07,9.215182
1627887600000,40291.07,40452.47,40025.0,40086.32,6.970924
1627891200000,40086.32,40137.24,39468.95,39511.46,7.463797
1627894800000,39511.46,39705.27,39313.05,39614.49,5.565139
1627898400000,39614.49,39828.24,39533.99,39707.04,9.239666
1627902000000,39707.04,39707.04,39450.0,39535.18,2.429166
